=== GEN PHASE START Wed May 13 08:34:30 PM JST 2026 ===
Pending: 6832 frames
  OK top_1 (1599→5814)
  OK top_2 (1599→5814)
  OK top_3 (1599→5814)
  OK business_1 (1664→7374)
  OK business_2 (1664→7374)
  OK care_1 (1664→7374)
  OK care_2 (1664→7374)
  OK start_1 (1664→7374)
  OK case_2 (1585→4552)
  OK case_3 (1585→4552)
  OK person_1 (1585→4552)
  OK person_2 (1585→4552)
  OK change_1 (1585→4552)
  OK change_2 (1591→4723)
  OK change_3 (1591→4723)
  OK full_1 (1591→4723)
  OK full_2 (1591→4723)
  OK took_1 (1591→4723)
  OK start_2 (1602→5609)
  OK start_3 (1602→5609)
  OK system_1 (1602→5609)
  OK system_2 (1602→5609)
  OK case_1 (1602→5609)
  OK job_1 (1594→5772)
  OK job_2 (1594→5772)
  OK try_1 (1594→5772)
  OK try_2 (1594→5772)
  OK try_3 (1594→5772)
  OK went_1 (1593→3722)
  OK went_2 (1593→3722)
  OK went_3 (1593→3722)
  OK line_1 (1593→3722)
  OK line_2 (1593→3722)
  OK line_3 (1576→5046)
  OK order_1 (1576→5046)
  OK order_2 (1576→5046)
  OK order_3 (1576→5046)
  OK party_1 (1576→5046)
  OK party_2 (1578→4531)
  OK party_3 (1578→4531)
  OK run_1 (1578→4531)
  OK run_2 (1578→4531)
  OK run_3 (1578→4531)
  OK service_1 (1562→4961)
  OK service_2 (1562→4961)
  OK service_3 (1562→4961)
  OK country_1 (1562→4961)
  OK country_2 (1562→4961)
  OK took_2 (1603→4429)
  OK took_3 (1603→4429)
  OK came_1 (1603→4429)
  OK came_2 (1603→4429)
  OK came_3 (1603→4429)
  OK open_1 (1596→5073)
  OK open_2 (1596→5073)
  OK season_1 (1596→5073)
  OK season_2 (1596→5073)
  OK general_1 (1596→5073)
  OK given_1 (1594→4623)
  OK given_2 (1594→4623)
  OK half_1 (1594→4623)
  OK half_2 (1594→4623)
  OK hand_1 (1594→4623)
  OK post_1 (1574→5024)
  OK post_2 (1574→5024)
  OK post_3 (1574→5024)
  OK video_1 (1574→5024)
  OK video_2 (1574→5024)
  OK using_1 (1574→5728)
  OK using_2 (1574→5728)
  OK using_3 (1574→5728)
  OK local_1 (1574→5728)
  OK local_2 (1574→5728)
  OK stop_2 (1549→5808)
  OK stop_3 (1549→5808)
  OK water_1 (1549→5808)
  OK call_1 (1549→5808)
  OK call_2 (1549→5808)
  OK become_1 (1598→998)
  OK become_2 (1598→998)
  OK body_1 (1598→998)
  OK body_2 (1598→998)
  OK body_3 (1598→998)
  OK young_1 (1573→5336)
  OK young_2 (1573→5336)
